filter,key,project,issuetype,status,customfield_58100,customfield_60501
preALP,2021-01-01,SCLOOPW-15593,SchoolLoop Web,Customer Defect,Release pending,15.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-15972,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,2021-01-01,SCLOOPW-15435,SchoolLoop Web,Customer Defect,Release pending,6.0,"SCLOOPW-11139,SCLOOPW-12963,SCLOOPW-1549,SCLOOPW-1639,SCLOOPW-1740,SCLOOPW-789"
preALP,2021-01-01,SCLOOPW-15386,SchoolLoop Web,Customer Defect,Release pending,14.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,2021-01-01,SCLOOPW-15217,SchoolLoop Web,Customer Defect,Release pending,14.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,2021-01-01,SCLOOPW-14982,SchoolLoop Web,Customer Defect,Release pending,14.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,2021-01-01,SCLOOPW-14774,SchoolLoop Web,Customer Defect,Release pending,3.0,"SCLOOPW-1376,SCLOOPW-1379,SCLOOPW-1380"
preALP,2021-01-01,SCLOOPW-14726,SchoolLoop Web,Customer Defect,Release pending,0.0,
preALP,2021-01-01,SCLOOPW-14479,SchoolLoop Web,Customer Defect,Release pending,9.0,"SCLOOPW-11139,SCLOOPW-12963,SCLOOPW-1376,SCLOOPW-1379,SCLOOPW-1380,SCLOOPW-1549,SCLOOPW-1639,SCLOOPW-1740,SCLOOPW-789"
preALP,2021-01-01,SCLOOPW-14340,SchoolLoop Web,Defect,Release pending,6.0,"SCLOOPW-11139,SCLOOPW-12963,SCLOOPW-1549,SCLOOPW-1639,SCLOOPW-1740,SCLOOPW-789"
preALP,2021-01-01,SCLOOPW-13776,SchoolLoop Web,Defect,Release pending,6.0,"SCLOOPW-11139,SCLOOPW-12963,SCLOOPW-1549,SCLOOPW-1639,SCLOOPW-1740,SCLOOPW-789"
preALP,2021-01-01,SCLOOPW-12876,SchoolLoop Web,Customer Defect,Release pending,0.0,
preALP,2021-01-01,SCLOOPW-12825,SchoolLoop Web,Customer Defect,In Code Review,,The issue has no Functional Area affected
preALP,2021-01-01,SCLOOPW-4929,SchoolLoop Web,Customer Defect,Release pending,4.0,"SCLOOPW-1376,SCLOOPW-1379,SCLOOPW-1380,SCLOOPW-16060"
preALP,2021-01-01,SCLOOPW-604,SchoolLoop Web,Customer Defect,Release pending,14.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,2021-01-01,SCALEARC-19758,ScaleArc,Defect,Release pending,0.0,
preALP,2021-01-01,SCALEARC-19756,ScaleArc,Defect,In Code Review,,
preALP,2021-01-01,SCALEARC-14003,ScaleArc,Customer Defect,In Code Review,,
preALP,2021-01-01,SBM-70475,Aurea Process,Defect,Release pending,11.0,"SBM-66687,SBM-66688,SBM-66689,SBM-69728,SBM-69729,SBM-69730,SBM-69731,SBM-69916,SBM-70370,SBM-70394,SBM-70554"
preALP,2021-01-01,SBM-70473,Aurea Process,Defect,Release pending,2.0,"SBM-70432,SBM-70511"
preALP,2021-01-01,SBM-70439,Aurea Process,Defect,Release pending,1.0,SBM-70472
preALP,2021-01-01,SBM-70437,Aurea Process,Defect,Release pending,3.0,"SBM-57753,SBM-60827,SBM-70458"
preALP,2021-01-01,SBM-70359,Aurea Process,Defect,Release pending,10.0,"SBM-66687,SBM-66688,SBM-66689,SBM-69728,SBM-69729,SBM-69730,SBM-69731,SBM-69916,SBM-70370,SBM-70394"
preALP,2021-01-01,SBM-69885,Aurea Process,Defect,Release pending,1.0,SBM-60112
preALP,2021-01-01,SBM-69605,Aurea Process,Defect,Release pending,10.0,"SBM-66687,SBM-66688,SBM-66689,SBM-69728,SBM-69729,SBM-69730,SBM-69731,SBM-69916,SBM-70370,SBM-70394"
preALP,2021-01-01,SBM-69452,Aurea Process,Defect,Release pending,1.0,SBM-70233
preALP,2021-01-01,SARAT-8726,Saratoga,Defect,Release pending,0.0,
preALP,2021-01-01,RESPTK-37822,ResponseTek,Customer Defect,Release pending,0.0,
preALP,2021-01-01,RESPTK-35897,ResponseTek,Customer Defect,Release pending,2.0,"RESPTK-35342,RESPTK-36135"
preALP,2021-01-01,RESPTK-34488,ResponseTek,Defect,Release pending,0.0,
preALP,2021-01-01,RESPTK-34471,ResponseTek,Customer Defect,Release pending,2.0,"RESPTK-2029,RESPTK-34972"
preALP,2021-01-01,RESPTK-34400,ResponseTek,Defect,Release pending,10.0,"RESPTK-21347,RESPTK-21348,RESPTK-21351,RESPTK-24897,RESPTK-24899,RESPTK-30226,RESPTK-30548,RESPTK-31581,RESPTK-32209,RESPTK-33207"
preALP,2021-01-01,RESPTK-34387,ResponseTek,Customer Defect,Release pending,10.0,"RESPTK-21347,RESPTK-21348,RESPTK-21351,RESPTK-24897,RESPTK-24899,RESPTK-30226,RESPTK-30548,RESPTK-31581,RESPTK-32209,RESPTK-33207"
preALP,2021-01-01,RESPTK-34384,ResponseTek,Customer Defect,Release pending,10.0,"RESPTK-21347,RESPTK-21348,RESPTK-21351,RESPTK-24897,RESPTK-24899,RESPTK-30226,RESPTK-30548,RESPTK-31581,RESPTK-32209,RESPTK-33207"
preALP,2021-01-01,RESPTK-34060,ResponseTek,Defect,Release pending,0.0,
preALP,2021-01-01,RESPTK-33962,ResponseTek,Defect,Release pending,2.0,"RESPTK-25068,RESPTK-28408"
preALP,2021-01-01,RESPTK-33546,ResponseTek,Defect,Release pending,10.0,"RESPTK-21347,RESPTK-21348,RESPTK-21351,RESPTK-24897,RESPTK-24899,RESPTK-30226,RESPTK-30548,RESPTK-31581,RESPTK-32209,RESPTK-33207"
preALP,2021-01-01,RESPTK-29553,ResponseTek,Customer Defect,Release pending,0.0,
preALP,2021-01-01,RESPTK-20692,ResponseTek,Customer Defect,Release pending,0.0,
preALP,2021-01-01,QS-821,QuickSilver,Customer Defect,Release pending,0.0,
preALP,2021-01-01,QS-659,QuickSilver,Customer Defect,In Code Review,,
preALP,2021-01-01,QS-449,QuickSilver,Customer Defect,Release pending,0.0,
preALP,2021-01-01,PIVOTAL-30715,Pivotal,Defect,Release pending,20.0,"PIVOTAL-29235,PIVOTAL-30219,PIVOTAL-30220,PIVOTAL-30221,PIVOTAL-30222,PIVOTAL-30223,PIVOTAL-30224,PIVOTAL-30225,PIVOTAL-30226,PIVOTAL-30228,PIVOTAL-30229,PIVOTAL-30230,PIVOTAL-30231,PIVOTAL-30232,PIVOTAL-30233,PIVOTAL-30234,PIVOTAL-30236,PIVOTAL-30237,PIVOTAL-30721,PIVOTAL-30722"
preALP,2021-01-01,PIVOTAL-30524,Pivotal,Customer Defect,Release pending,20.0,"PIVOTAL-29235,PIVOTAL-30219,PIVOTAL-30220,PIVOTAL-30221,PIVOTAL-30222,PIVOTAL-30223,PIVOTAL-30224,PIVOTAL-30225,PIVOTAL-30226,PIVOTAL-30228,PIVOTAL-30229,PIVOTAL-30230,PIVOTAL-30231,PIVOTAL-30232,PIVOTAL-30233,PIVOTAL-30234,PIVOTAL-30236,PIVOTAL-30237,PIVOTAL-30721,PIVOTAL-30722"
preALP,2021-01-01,PIVOTAL-30260,Pivotal,Customer Defect,Release pending,2.0,"PIVOTAL-29235,PIVOTAL-30227"
preALP,2021-01-01,PIVOTAL-28739,Pivotal,Customer Defect,Release pending,21.0,"PIVOTAL-19662,PIVOTAL-29235,PIVOTAL-30219,PIVOTAL-30220,PIVOTAL-30221,PIVOTAL-30222,PIVOTAL-30223,PIVOTAL-30224,PIVOTAL-30225,PIVOTAL-30226,PIVOTAL-30228,PIVOTAL-30229,PIVOTAL-30230,PIVOTAL-30231,PIVOTAL-30232,PIVOTAL-30233,PIVOTAL-30234,PIVOTAL-30236,PIVOTAL-30237,PIVOTAL-30721,PIVOTAL-30722"
preALP,2021-01-01,PIVOTAL-28652,Pivotal,Defect,Release pending,20.0,"PIVOTAL-29235,PIVOTAL-30219,PIVOTAL-30220,PIVOTAL-30221,PIVOTAL-30222,PIVOTAL-30223,PIVOTAL-30224,PIVOTAL-30225,PIVOTAL-30226,PIVOTAL-30228,PIVOTAL-30229,PIVOTAL-30230,PIVOTAL-30231,PIVOTAL-30232,PIVOTAL-30233,PIVOTAL-30234,PIVOTAL-30236,PIVOTAL-30237,PIVOTAL-30721,PIVOTAL-30722"
preALP,2021-01-01,PIVOTAL-25522,Pivotal,Customer Defect,Release pending,27.0,"PIVOTAL-21789,PIVOTAL-21797,PIVOTAL-21831,PIVOTAL-21834,PIVOTAL-21838,PIVOTAL-21840,PIVOTAL-21841,PIVOTAL-29235,PIVOTAL-30219,PIVOTAL-30220,PIVOTAL-30221,PIVOTAL-30222,PIVOTAL-30223,PIVOTAL-30224,PIVOTAL-30225,PIVOTAL-30226,PIVOTAL-30228,PIVOTAL-30229,PIVOTAL-30230,PIVOTAL-30231,PIVOTAL-30232,PIVOTAL-30233,PIVOTAL-30234,PIVOTAL-30236,PIVOTAL-30237,PIVOTAL-30721,PIVOTAL-30722"
preALP,2021-01-01,PAUB-32242,"PA Cache, Web & Live",Defect,Release pending,0.0,
preALP,2021-01-01,OSCMENT-14787,OneSCM Enterprise,Defect,Release pending,6.0,"OSCMENT-10475,OSCMENT-10489,OSCMENT-117,OSCMENT-14140,OSCMENT-14141,OSCMENT-14142"
preALP,2021-01-01,OSCMENT-14700,OneSCM Enterprise,Customer Defect,Reviewed,13.0,"OSCMENT-10445,OSCMENT-10447,OSCMENT-10449,OSCMENT-10452,OSCMENT-10569,OSCMENT-25,OSCMENT-29,OSCMENT-30,OSCMENT-55,OSCMENT-5523,OSCMENT-5524,OSCMENT-5525,OSCMENT-7652"
preALP,2021-01-01,OSCMENT-14604,OneSCM Enterprise,Defect,Reviewed,12.0,"OSCMENT-10445,OSCMENT-10447,OSCMENT-10449,OSCMENT-10452,OSCMENT-25,OSCMENT-29,OSCMENT-30,OSCMENT-55,OSCMENT-5523,OSCMENT-5524,OSCMENT-5525,OSCMENT-7652"
preALP,2021-01-01,OSCMENT-13903,OneSCM Enterprise,Defect,In Code Review,,The issue has no Functional Area affected
preALP,2021-01-01,OSCMENT-13503,OneSCM Enterprise,Customer Defect,Release pending,1.0,OSCMENT-13732
preALP,2021-01-01,OSCMENT-12515,OneSCM Enterprise,Defect,Release pending,2.0,"OSCMENT-10509,OSCMENT-13396"
preALP,2021-01-01,OSCMENT-12513,OneSCM Enterprise,Defect,Release pending,2.0,"OSCMENT-10509,OSCMENT-13215"
preALP,2021-01-01,OSCMENT-12498,OneSCM Enterprise,Defect,In Code Review,,
preALP,2021-01-01,OSCMENT-12341,OneSCM Enterprise,Defect,Release pending,3.0,"OSCMENT-12064,OSCMENT-12070,OSCMENT-12228"
preALP,2021-01-01,OSCMENT-12226,OneSCM Enterprise,Defect,Release pending,11.0,"OSCMENT-16028,OSCMENT-5545,OSCMENT-5546,OSCMENT-5547,OSCMENT-57,OSCMENT-5964,OSCMENT-68,OSCMENT-69,OSCMENT-73,OSCMENT-74,OSCMENT-75"
preALP,2021-01-01,OSCMENT-9101,OneSCM Enterprise,Defect,Release pending,11.0,"OSCMENT-16028,OSCMENT-5545,OSCMENT-5546,OSCMENT-5547,OSCMENT-57,OSCMENT-5964,OSCMENT-68,OSCMENT-69,OSCMENT-73,OSCMENT-74,OSCMENT-75"
preALP,2021-01-01,OSCMENT-8784,OneSCM Enterprise,Defect,Release pending,7.0,"OSCMENT-6038,OSCMENT-6623,OSCMENT-6963,OSCMENT-7322,OSCMENT-7326,OSCMENT-7328,OSCMENT-9611"
preALP,2021-01-01,OSCMENT-8719,OneSCM Enterprise,Defect,Release pending,11.0,"OSCMENT-16028,OSCMENT-5545,OSCMENT-5546,OSCMENT-5547,OSCMENT-57,OSCMENT-5964,OSCMENT-68,OSCMENT-69,OSCMENT-73,OSCMENT-74,OSCMENT-75"
preALP,2021-01-01,OSCMENT-8708,OneSCM Enterprise,Defect,Release pending,11.0,"OSCMENT-16028,OSCMENT-5545,OSCMENT-5546,OSCMENT-5547,OSCMENT-57,OSCMENT-5964,OSCMENT-68,OSCMENT-69,OSCMENT-73,OSCMENT-74,OSCMENT-75"
preALP,2021-01-01,OSCMENT-8707,OneSCM Enterprise,Defect,Release pending,11.0,"OSCMENT-16028,OSCMENT-5545,OSCMENT-5546,OSCMENT-5547,OSCMENT-57,OSCMENT-5964,OSCMENT-68,OSCMENT-69,OSCMENT-73,OSCMENT-74,OSCMENT-75"
preALP,2021-01-01,OSCMENT-8706,OneSCM Enterprise,Defect,Release pending,11.0,"OSCMENT-16028,OSCMENT-5545,OSCMENT-5546,OSCMENT-5547,OSCMENT-57,OSCMENT-5964,OSCMENT-68,OSCMENT-69,OSCMENT-73,OSCMENT-74,OSCMENT-75"
preALP,2021-01-01,OSCMENT-8705,OneSCM Enterprise,Defect,Release pending,11.0,"OSCMENT-16028,OSCMENT-5545,OSCMENT-5546,OSCMENT-5547,OSCMENT-57,OSCMENT-5964,OSCMENT-68,OSCMENT-69,OSCMENT-73,OSCMENT-74,OSCMENT-75"
preALP,2021-01-01,OSCMENT-8703,OneSCM Enterprise,Defect,Release pending,11.0,"OSCMENT-16028,OSCMENT-5545,OSCMENT-5546,OSCMENT-5547,OSCMENT-57,OSCMENT-5964,OSCMENT-68,OSCMENT-69,OSCMENT-73,OSCMENT-74,OSCMENT-75"
