filter,Date,project,key,issuetype,status,customfield_58100,customfield_60501
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-17300,Customer Defect,Release pending,15.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-17436,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-16597,Customer Defect,Release pending,4.0,"SCLOOPW-1282,SCLOOPW-12971,SCLOOPW-14351,SCLOOPW-1510"
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-16593,Customer Defect,Release pending,15.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-16770,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-16498,Customer Defect,Release pending,15.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-16581,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-16196,Customer Defect,Release pending,14.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-16065,Customer Defect,Release pending,1.0,SCLOOPW-11160
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-16059,Customer Defect,Release pending,2.0,"SCLOOPW-1829,SCLOOPW-1850"
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-16031,Customer Defect,Release pending,2.0,"SCLOOPW-11160,SCLOOPW-16080"
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-15697,Customer Defect,Release pending,15.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-16619,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-15688,Customer Defect,Release pending,1.0,SCLOOPW-11160
