filter,key,project,issuetype,status,customfield_58100,customfield_60501
preALP,SCLOOPW-16059,SchoolLoop Web,Customer Defect,Release pending,2.0,"SCLOOPW-1829,SCLOOPW-1850"
preALP,SCLOOPW-16031,SchoolLoop Web,Customer Defect,Release pending,2.0,"SCLOOPW-11160,SCLOOPW-16080"
preALP,SCLOOPW-15697,SchoolLoop Web,Customer Defect,Release pending,15.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-16619,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,SCLOOPW-15688,SchoolLoop Web,Customer Defect,Release pending,1.0,SCLOOPW-11160
preALP,SCLOOPW-15659,SchoolLoop Web,Customer Defect,Release pending,14.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,SCLOOPW-15593,SchoolLoop Web,Customer Defect,Release pending,15.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-15972,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,SCLOOPW-15435,SchoolLoop Web,Customer Defect,Release pending,6.0,"SCLOOPW-11139,SCLOOPW-12963,SCLOOPW-1549,SCLOOPW-1639,SCLOOPW-1740,SCLOOPW-789"
preALP,SCLOOPW-15386,SchoolLoop Web,Customer Defect,Release pending,14.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,SCLOOPW-15217,SchoolLoop Web,Customer Defect,Release pending,14.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,SCLOOPW-14982,SchoolLoop Web,Customer Defect,Release pending,14.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,SCLOOPW-14774,SchoolLoop Web,Customer Defect,Release pending,3.0,"SCLOOPW-1376,SCLOOPW-1379,SCLOOPW-1380"
preALP,SCLOOPW-14726,SchoolLoop Web,Customer Defect,Release pending,0.0,
preALP,SCLOOPW-14479,SchoolLoop Web,Customer Defect,Release pending,9.0,"SCLOOPW-11139,SCLOOPW-12963,SCLOOPW-1376,SCLOOPW-1379,SCLOOPW-1380,SCLOOPW-1549,SCLOOPW-1639,SCLOOPW-1740,SCLOOPW-789"
preALP,SCLOOPW-14340,SchoolLoop Web,Defect,Release pending,6.0,"SCLOOPW-11139,SCLOOPW-12963,SCLOOPW-1549,SCLOOPW-1639,SCLOOPW-1740,SCLOOPW-789"
preALP,SCLOOPW-13776,SchoolLoop Web,Defect,Release pending,6.0,"SCLOOPW-11139,SCLOOPW-12963,SCLOOPW-1549,SCLOOPW-1639,SCLOOPW-1740,SCLOOPW-789"
preALP,SCLOOPW-12876,SchoolLoop Web,Customer Defect,Release pending,0.0,
preALP,SCLOOPW-12825,SchoolLoop Web,Customer Defect,In Code Review,,The issue has no Functional Area affected
